LMB3A_IDcu,LMB3A_Area,POP_2018
88,415056253,90487
93,156933002,89818
94,53028681,88441
91,605207306,91654
92,41129359,89916
1,45581103,144570
2,18093661,148612
5,9367969,116686
6,15866738,130987
3,23599862,135811
4,1064709081,139554
17,61807279,121942
18,1058895316,116516
15,36526687,118260
16,144757280,115776
21,422877216,113947
22,130961215,107813
19,85325172,110717
20,189334893,112439
9,12835933,122137
10,523510767,122931
7,9083528,120711
8,26845402,134700
13,79286128,111019
14,7252413,124226
11,33136114,132317
12,198848160,120609
33,180195539,105445
34,25951788,110720
31,41505966,108257
32,323346859,101572
37,968849309,104095
38,158915449,102046
35,377356241,103270
36,262027065,109871
25,591590255,109567
26,96823823,107182
23,235207937,112249
24,201681002,113296
29,8313145,130228
30,38300433,105311
27,60748599,108278
28,72584406,109190
49,82526286,101849
50,94169135,95095
47,215746183,95584
48,190536836,99674
53,103778518,100592
54,23577827,96367
51,47110882,101066
52,71220826,96684
41,362785435,100861
42,124155511,101163
39,418791245,102167
40,570630459,104019
45,100002324,100852
46,943508243,100563
43,15444465,92121
44,40058863,95847
65,2681638212,89955
66,24904263,95860
63,94150473,94585
64,76265305,98899
69,205655685,94983
70,112669234,91968
67,218545247,97230
68,107704110,93352
57,784469194,96448
58,175782618,99835
55,5294278,95871
56,316441568,98651
61,146515818,97073
62,47600798,97580
59,304539931,96471
60,14150610,99719
81,40751932,90245
82,40052465,97829
79,256232117,91460
80,366895138,94199
85,57181036,89726
86,75355306,92801
83,71337154,93391
84,247483370,93050
73,590322834,93724
74,183729366,91688
71,62755671,94581
72,1319802809,92418
77,224637779,92837
78,32016491,94581
75,297430536,92717
76,54275025,91554
95,57551697,85913
96,42828625,87914
89,1783615937,90881
90,94840189,87859
87,144488243,90250
